Row ID,RowID_IsNum,RowID_Unique,Order ID, OrderID_Clean ,OrderIdCleanValid,Order Date,Order DateCheck,OrderYear,MonthNumber,OrderMonth,Year–Month  ,Ship Date,Date_Check,ShipOrder_Logic,Ship Mode,ShipModeClean,Customer ID, CustomerID_Clean ,CustomerID_Clean_Valid,Customer Name,Customer NameClean,Segment,SegmentClean,Country,Country Clean,City,City Cleaned,State,StateClean,Postal Code,Postal Clean,Postal_Check,Region,Region_Clean,Product ID,ProductID Cleaned,ProductID Cleaned_Verified,Category,Category Clean,Sub-Category,Sub-CategoryClean,Product Name,Product NameCleaned,Sales, Positive‐value check,Unit Sold
12,✔️ OK,✔️ Unique,CA-2015-115812,CA-2015-115812,✔️ Valid,09-Jun-15,✔️ OK,2015,6,Jun,2015-06,14-Jun-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,BH-11710,BH-11710,✔️ Valid,Brosina Hoffman,Brosina Hoffman,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90032,90032,✔️ OK,West,West,TEC-PH-10002033,TEC-PH-10002033,✔️ Valid,Technology,Technology,Phones,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Konftel 250 Conferenceâ Phoneâ - Charcoal Black,$911.42 ,✔️ Positive,1
13,✔️ OK,✔️ Unique,CA-2018-114412,CA-2018-114412,✔️ Valid,15-Apr-18,✔️ OK,2018,4,Apr,2018-04,20-Apr-18,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,AA-10480,AA-10480,✔️ Valid,Andrew Allen,Andrew Allen,Consumer,Consumer,United States,United States,Concord,Concord,North Carolina,North Carolina,28027,28027,✔️ OK,South,South,OFF-PA-10002365,OFF-PA-10002365,✔️ Valid,Office Supplies,Office Supplies,Paper,Paper,Xerox 1967,Xerox 1967,$15.55 ,✔️ Positive,1
14,✔️ OK,✔️ Unique,CA-2017-161389,CA-2017-161389,✔️ Valid,05-Dec-17,✔️ OK,2017,12,Dec,2017-12,10-Dec-17,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,IM-15070,IM-15070,✔️ Valid,Irene Maddox,Irene Maddox,Consumer,Consumer,United States,United States,Seattle,Seattle,Washington,Washington,98103,98103,✔️ OK,West,West,OFF-BI-10003656,OFF-BI-10003656,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,Fellowes PB200 Plastic Comb Binding Machine,Fellowes Pb200 Plastic Comb Binding Machine,$407.98 ,✔️ Positive,1
15,✔️ OK,✔️ Unique,US-2016-118983,US-2016-118983,✔️ Valid,22-Nov-16,✔️ OK,2016,11,Nov,2016-11,26-Nov-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,HP-14815,HP-14815,✔️ Valid,Harold Pawlan,Harold Pawlan,Home Office,Home Office,United States,United States,Fort Worth,Fort Worth,Texas,Texas,76106,76106,✔️ OK,Central,Central,OFF-AP-10002311,OFF-AP-10002311,✔️ Valid,Office Supplies,Office Supplies,Appliances,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",$68.81 ,✔️ Positive,1
16,✔️ OK,✔️ Unique,US-2016-118983,US-2016-118983,✔️ Valid,22-Nov-16,✔️ OK,2016,11,Nov,2016-11,26-Nov-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,HP-14815,HP-14815,✔️ Valid,Harold Pawlan,Harold Pawlan,Home Office,Home Office,United States,United States,Fort Worth,Fort Worth,Texas,Texas,76106,76106,✔️ OK,Central,Central,OFF-BI-10000756,OFF-BI-10000756,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Storex Duratech Recycled Plastic Frosted Binders,$2.54 ,✔️ Positive,1
17,✔️ OK,✔️ Unique,CA-2015-105893,CA-2015-105893,✔️ Valid,11-Nov-15,✔️ OK,2015,11,Nov,2015-11,18-Nov-15,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,PK-19075,PK-19075,✔️ Valid,Pete Kriz,Pete Kriz,Consumer,Consumer,United States,United States,Madison,Madison,Wisconsin,Wisconsin,53711,53711,✔️ OK,Central,Central,OFF-ST-10004186,OFF-ST-10004186,✔️ Valid,Office Supplies,Office Supplies,Storage,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",$665.88 ,✔️ Positive,1
18,✔️ OK,✔️ Unique,CA-2015-167164,CA-2015-167164,✔️ Valid,13-May-15,✔️ OK,2015,5,May,2015-05,15-May-15,✔️ Dates OK,✔️ OK,Second Class,Second Class,AG-10270,AG-10270,✔️ Valid,Alejandro Grove,Alejandro Grove,Consumer,Consumer,United States,United States,West Jordan,West Jordan,Utah,Utah,84084,84084,✔️ OK,West,West,OFF-ST-10000107,OFF-ST-10000107,✔️ Valid,Office Supplies,Office Supplies,Storage,Storage,Fellowes Super Stor/Drawer,Fellowes Super Stor/Drawer,$55.50 ,✔️ Positive,1
19,✔️ OK,✔️ Unique,CA-2015-143336,CA-2015-143336,✔️ Valid,27-Aug-15,✔️ OK,2015,8,Aug,2015-08,01-Sep-15,✔️ Dates OK,✔️ OK,Second Class,Second Class,ZD-21925,ZD-21925,✔️ Valid,Zuschuss Donatelli,Zuschuss Donatelli,Consumer,Consumer,United States,United States,San Francisco,San Francisco,California,California,94109,94109,✔️ OK,West,West,OFF-AR-10003056,OFF-AR-10003056,✔️ Valid,Office Supplies,Office Supplies,Art,Art,Newell 341,Newell 341,$8.56 ,✔️ Positive,1
20,✔️ OK,✔️ Unique,CA-2015-143336,CA-2015-143336,✔️ Valid,27-Aug-15,✔️ OK,2015,8,Aug,2015-08,01-Sep-15,✔️ Dates OK,✔️ OK,Second Class,Second Class,ZD-21925,ZD-21925,✔️ Valid,Zuschuss Donatelli,Zuschuss Donatelli,Consumer,Consumer,United States,United States,San Francisco,San Francisco,California,California,94109,94109,✔️ OK,West,West,TEC-PH-10001949,TEC-PH-10001949,✔️ Valid,Technology,Technology,Phones,Phones,Cisco SPA 501G IP Phone,Cisco Spa 501G Ip Phone,$213.48 ,✔️ Positive,1
21,✔️ OK,✔️ Unique,CA-2015-143336,CA-2015-143336,✔️ Valid,27-Aug-15,✔️ OK,2015,8,Aug,2015-08,01-Sep-15,✔️ Dates OK,✔️ OK,Second Class,Second Class,ZD-21925,ZD-21925,✔️ Valid,Zuschuss Donatelli,Zuschuss Donatelli,Consumer,Consumer,United States,United States,San Francisco,San Francisco,California,California,94109,94109,✔️ OK,West,West,OFF-BI-10002215,OFF-BI-10002215,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,"Wilson Jones Hanging View Binder, White, 1""","Wilson Jones Hanging View Binder, White, 1""",$22.72 ,✔️ Positive,1
22,✔️ OK,✔️ Unique,CA-2017-137330,CA-2017-137330,✔️ Valid,09-Dec-17,✔️ OK,2017,12,Dec,2017-12,13-Dec-17,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,KB-16585,KB-16585,✔️ Valid,Ken Black,Ken Black,Corporate,Corporate,United States,United States,Fremont,Fremont,Nebraska,Nebraska,68025,68025,✔️ OK,Central,Central,OFF-AR-10000246,OFF-AR-10000246,✔️ Valid,Office Supplies,Office Supplies,Art,Art,Newell 318,Newell 318,$19.46 ,✔️ Positive,1
23,✔️ OK,✔️ Unique,CA-2017-137330,CA-2017-137330,✔️ Valid,09-Dec-17,✔️ OK,2017,12,Dec,2017-12,13-Dec-17,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,KB-16585,KB-16585,✔️ Valid,Ken Black,Ken Black,Corporate,Corporate,United States,United States,Fremont,Fremont,Nebraska,Nebraska,68025,68025,✔️ OK,Central,Central,OFF-AP-10001492,OFF-AP-10001492,✔️ Valid,Office Supplies,Office Supplies,Appliances,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,✔️ Positive,1
24,✔️ OK,✔️ Unique,US-2018-156909,US-2018-156909,✔️ Valid,16-Jul-18,✔️ OK,2018,7,Jul,2018-07,18-Jul-18,✔️ Dates OK,✔️ OK,Second Class,Second Class,SF-20065,SF-20065,✔️ Valid,Sandra Flanagan,Sandra Flanagan,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,FUR-CH-10002774,FUR-CH-10002774,✔️ Valid,Furniture,Furniture,Chairs,Chairs,"Global Deluxe Stacking Chair, Gray","Global Deluxe Stacking Chair, Gray",$71.37 ,✔️ Positive,1
25,✔️ OK,✔️ Unique,CA-2016-106320,CA-2016-106320,✔️ Valid,25-Sep-16,✔️ OK,2016,9,Sep,2016-09,30-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,EB-13870,EB-13870,✔️ Valid,Emily Burns,Emily Burns,Consumer,Consumer,United States,United States,Orem,Orem,Utah,Utah,84057,84057,✔️ OK,West,West,FUR-TA-10000577,FUR-TA-10000577,✔️ Valid,Furniture,Furniture,Tables,Tables,Bretford CR4500 Series Slim Rectangular Table,Bretford Cr4500 Series Slim Rectangular Table,"$1,044.63 ",✔️ Positive,1
26,✔️ OK,✔️ Unique,CA-2017-121755,CA-2017-121755,✔️ Valid,16-Jan-17,✔️ OK,2017,1,Jan,2017-01,20-Jan-17,✔️ Dates OK,✔️ OK,Second Class,Second Class,EH-13945,EH-13945,✔️ Valid,Eric Hoffmann,Eric Hoffmann,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90049,90049,✔️ OK,West,West,OFF-BI-10001634,OFF-BI-10001634,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,Wilson Jones Active Use Binders,Wilson Jones Active Use Binders,$11.65 ,✔️ Positive,1
27,✔️ OK,✔️ Unique,CA-2017-121755,CA-2017-121755,✔️ Valid,16-Jan-17,✔️ OK,2017,1,Jan,2017-01,20-Jan-17,✔️ Dates OK,✔️ OK,Second Class,Second Class,EH-13945,EH-13945,✔️ Valid,Eric Hoffmann,Eric Hoffmann,Consumer,Consumer,United States,United States,Los Angeles,Los Angeles,California,California,90049,90049,✔️ OK,West,West,TEC-AC-10003027,TEC-AC-10003027,✔️ Valid,Technology,Technology,Accessories,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,Imationâ 8Gb Mini Traveldrive Usb 2.0Â Flash Drive,$90.57 ,✔️ Positive,1
28,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,FUR-BO-10004834,FUR-BO-10004834,✔️ Valid,Furniture,Furniture,Bookcases,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",✔️ Positive,1
29,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,OFF-BI-10000474,OFF-BI-10000474,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Avery Recycled Flexi-View Covers For Binding Systems,$9.62 ,✔️ Positive,1
30,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,FUR-FU-10004848,FUR-FU-10004848,✔️ Valid,Furniture,Furniture,Furnishings,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20 ,✔️ Positive,1
31,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,OFF-EN-10001509,OFF-EN-10001509,✔️ Valid,Office Supplies,Office Supplies,Envelopes,Envelopes,Poly String Tie Envelopes,Poly String Tie Envelopes,$3.26 ,✔️ Positive,1
32,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,OFF-AR-10004042,OFF-AR-10004042,✔️ Valid,Office Supplies,Office Supplies,Art,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,✔️ Positive,1
33,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,OFF-BI-10001525,OFF-BI-10001525,✔️ Valid,Office Supplies,Office Supplies,Binders,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",$6.86 ,✔️ Positive,1
34,✔️ OK,✔️ Unique,US-2016-150630,US-2016-150630,✔️ Valid,17-Sep-16,✔️ OK,2016,9,Sep,2016-09,21-Sep-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,TB-21520,TB-21520,✔️ Valid,Tracy Blumstein,Tracy Blumstein,Consumer,Consumer,United States,United States,Philadelphia,Philadelphia,Pennsylvania,Pennsylvania,19140,19140,✔️ OK,East,East,OFF-AR-10001683,OFF-AR-10001683,✔️ Valid,Office Supplies,Office Supplies,Art,Art,Lumber Crayons,Lumber Crayons,$15.76 ,✔️ Positive,1
35,✔️ OK,✔️ Unique,CA-2018-107727,CA-2018-107727,✔️ Valid,19-Oct-18,✔️ OK,2018,10,Oct,2018-10,23-Oct-18,✔️ Dates OK,✔️ OK,Second Class,Second Class,MA-17560,MA-17560,✔️ Valid,Matt Abelman,Matt Abelman,Home Office,Home Office,United States,United States,Houston,Houston,Texas,Texas,77095,77095,✔️ OK,Central,Central,OFF-PA-10000249,OFF-PA-10000249,✔️ Valid,Office Supplies,Office Supplies,Paper,Paper,Easy-staple paper,Easy-Staple Paper,$29.47 ,✔️ Positive,1
36,✔️ OK,✔️ Unique,CA-2017-117590,CA-2017-117590,✔️ Valid,08-Dec-17,✔️ OK,2017,12,Dec,2017-12,10-Dec-17,✔️ Dates OK,✔️ OK,First Class,First Class,GH-14485,GH-14485,✔️ Valid,Gene Hale,Gene Hale,Corporate,Corporate,United States,United States,Richardson,Richardson,Texas,Texas,75080,75080,✔️ OK,Central,Central,TEC-PH-10004977,TEC-PH-10004977,✔️ Valid,Technology,Technology,Phones,Phones,GE 30524EE4,Ge 30524Ee4,"$1,097.54 ",✔️ Positive,1
37,✔️ OK,✔️ Unique,CA-2017-117590,CA-2017-117590,✔️ Valid,08-Dec-17,✔️ OK,2017,12,Dec,2017-12,10-Dec-17,✔️ Dates OK,✔️ OK,First Class,First Class,GH-14485,GH-14485,✔️ Valid,Gene Hale,Gene Hale,Corporate,Corporate,United States,United States,Richardson,Richardson,Texas,Texas,75080,75080,✔️ OK,Central,Central,FUR-FU-10003664,FUR-FU-10003664,✔️ Valid,Furniture,Furniture,Furnishings,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","Electrix Architect'S Clamp-On Swing Arm Lamp, Black",$190.92 ,✔️ Positive,1
38,✔️ OK,✔️ Unique,CA-2016-117415,CA-2016-117415,✔️ Valid,27-Dec-16,✔️ OK,2016,12,Dec,2016-12,31-Dec-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SN-20710,SN-20710,✔️ Valid,Steve Nguyen,Steve Nguyen,Home Office,Home Office,United States,United States,Houston,Houston,Texas,Texas,77041,77041,✔️ OK,Central,Central,OFF-EN-10002986,OFF-EN-10002986,✔️ Valid,Office Supplies,Office Supplies,Envelopes,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",$113.33 ,✔️ Positive,1
39,✔️ OK,✔️ Unique,CA-2016-117415,CA-2016-117415,✔️ Valid,27-Dec-16,✔️ OK,2016,12,Dec,2016-12,31-Dec-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SN-20710,SN-20710,✔️ Valid,Steve Nguyen,Steve Nguyen,Home Office,Home Office,United States,United States,Houston,Houston,Texas,Texas,77041,77041,✔️ OK,Central,Central,FUR-BO-10002545,FUR-BO-10002545,✔️ Valid,Furniture,Furniture,Bookcases,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,✔️ Positive,1
40,✔️ OK,✔️ Unique,CA-2016-117415,CA-2016-117415,✔️ Valid,27-Dec-16,✔️ OK,2016,12,Dec,2016-12,31-Dec-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SN-20710,SN-20710,✔️ Valid,Steve Nguyen,Steve Nguyen,Home Office,Home Office,United States,United States,Houston,Houston,Texas,Texas,77041,77041,✔️ OK,Central,Central,FUR-CH-10004218,FUR-CH-10004218,✔️ Valid,Furniture,Furniture,Chairs,Chairs,"Global Fabric Manager's Chair, Dark Gray","Global Fabric Manager'S Chair, Dark Gray",$212.06 ,✔️ Positive,1
41,✔️ OK,✔️ Unique,CA-2016-117415,CA-2016-117415,✔️ Valid,27-Dec-16,✔️ OK,2016,12,Dec,2016-12,31-Dec-16,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,SN-20710,SN-20710,✔️ Valid,Steve Nguyen,Steve Nguyen,Home Office,Home Office,United States,United States,Houston,Houston,Texas,Texas,77041,77041,✔️ OK,Central,Central,TEC-PH-10000486,TEC-PH-10000486,✔️ Valid,Technology,Technology,Phones,Phones,Plantronics HL10 Handset Lifter,Plantronics Hl10 Handset Lifter,$371.17 ,✔️ Positive,1
42,✔️ OK,✔️ Unique,CA-2018-120999,CA-2018-120999,✔️ Valid,10-Sep-18,✔️ OK,2018,9,Sep,2018-09,15-Sep-18,✔️ Dates OK,✔️ OK,Standard Class,Standard Class,LC-16930,LC-16930,✔️ Valid,Linda Cazamias,Linda Cazamias,Corporate,Corporate,United States,United States,Naperville,Naperville,Illinois,Illinois,60540,60540,✔️ OK,Central,Central,TEC-PH-10004093,TEC-PH-10004093,✔️ Valid,Technology,Technology,Phones,Phones,Panasonic Kx-TS550,Panasonic Kx-Ts550,$147.17 ,✔️ Positive,1
